Time,HostName,AirQualityIndex,Humidity,Temperature,Pressure,VOCEstimate,GasSensorResistance,CO2Estimate
1.65E+12,RSE-12-C,132.4527,29.100258,23.596935,999.35156,1.1745142,775862.06,814.94934
1.65E+12,RSE-12-C,132.24411,29.083582,23.596935,999.34106,1.1718439,778546.7,813.4436
1.65E+12,RSE-12-C,129.45442,29.063452,23.5944,999.38226,1.1455123,778097.94,798.40936
1.65E+12,RSE-12-C,130.7977,29.051912,23.5944,999.4189,1.1571113,778996,805.074
1.65E+12,RSE-12-C,130.21707,29.028337,23.602015,999.4615,1.1511238,781250,801.64197
1.65E+12,RSE-12-C,132.36935,29.027384,23.602015,999.4877,1.1702173,778546.7,812.5247
1.65E+12,RSE-12-C,133.42825,28.984758,23.609625,999.50226,1.1793396,778546.7,817.6617
1.65E+12,RSE-12-C,134.48082,28.965214,23.6147,999.50916,1.1884835,776754.94,822.77094
1.65E+12,RSE-12-C,134.39172,28.94119,23.607088,999.48224,1.1868734,778546.7,821.87415
1.65E+12,RSE-12-C,134.35336,28.931328,23.607088,999.57837,1.1857417,777649.75,821.24316
1.65E+12,RSE-12-C,134.25873,28.917492,23.6147,999.62103,1.1840858,778097.94,820.31866
1.65E+12,RSE-12-C,130.51797,28.889576,23.6147,999.64374,1.1489202,783062.7,800.37445
1.65E+12,RSE-12-C,130.8107,28.86966,23.62231,999.6408,1.1509408,782155.25,801.53687
1.65E+12,RSE-12-C,132.35115,28.831757,23.632462,999.7556,1.1642984,780346.8,809.1702
1.65E+12,RSE-12-C,137.15967,28.790834,23.635,999.7862,1.2084292,774082.56,833.781
1.65E+12,RSE-12-C,135.16489,28.788435,23.635,999.83514,1.1888314,780346.8,822.9646
1.65E+12,RSE-12-C,138.11458,28.774675,23.64261,999.8566,1.2159044,778546.7,837.8606
1.65E+12,RSE-12-C,144.63582,28.74598,23.647686,999.8809,1.278915,767918.06,871.2837
1.65E+12,RSE-12-C,146.71417,28.757921,23.645573,999.9291,1.2991167,768355.2,881.6516
1.65E+12,RSE-12-C,147.72147,28.738605,23.650223,999.95154,1.3085868,768355.2,886.4564
1.65E+12,RSE-12-C,149.27692,28.70844,23.6553,1000.0284,1.3237851,769230.8,894.09534
1.65E+12,RSE-12-C,148.52914,28.679947,23.6553,1000.0877,1.3152063,773195.9,889.7943
1.65E+12,RSE-12-C,148.19852,28.65445,23.667986,1000.22095,1.3109651,773195.9,887.6576
1.65E+12,RSE-12-C,149.04147,28.64647,23.680674,1000.2058,1.3187877,767918.06,891.5933
1.65E+12,RSE-12-C,152.38608,28.596813,23.690823,1000.3347,1.352833,769669.4,908.45435
1.65E+12,RSE-12-C,152.57068,28.562855,23.698437,1000.2566,1.353886,766174.8,908.9691
1.65E+12,RSE-12-C,154.55812,28.55532,23.690823,1000.28046,1.3741333,769669.4,918.78906
1.65E+12,RSE-12-C,151.19586,28.526215,23.703508,1000.2477,1.3376703,771869.6,900.99805
1.65E+12,RSE-12-C,152.15527,28.513294,23.711123,1000.27966,1.346824,766609.9,905.5095
1.65E+12,RSE-12-C,154.59772,28.46135,23.716198,1000.23755,1.3717781,766609.9,917.6543
1.65E+12,RSE-12-C,157.10684,28.45237,23.718735,1000.14923,1.3978846,765740.2,930.1257
1.65E+12,RSE-12-C,154.66472,28.4632,23.716198,999.98413,1.3706422,769230.8,917.10626
1.65E+12,RSE-12-C,158.0924,28.419048,23.718735,999.9378,1.4066967,766174.8,934.2828
1.65E+12,RSE-12-C,155.73816,28.395727,23.726349,999.9838,1.3802524,767918.06,921.7284
1.65E+12,RSE-12-C,154.03839,28.349113,23.72381,999.89905,1.3612356,770988.06,912.5506
1.65E+12,RSE-12-C,153.1325,28.321198,23.736843,999.8822,1.3507968,770988.06,907.45795
1.65E+12,RSE-12-C,156.10094,28.335693,23.728884,999.8046,1.3813152,768792.75,922.2376
1.65E+12,RSE-12-C,155.74182,28.287006,23.73396,999.8586,1.3765384,770547.94,919.9459
1.65E+12,RSE-12-C,156.39511,28.273504,23.741571,999.81555,1.3825758,771428.56,922.84094
1.65E+12,RSE-12-C,152.08206,28.27257,23.736498,999.83325,1.3362943,777649.75,900.31726
1.65E+12,RSE-12-C,152.30078,28.239077,23.739035,999.8654,1.3376703,772753.3,900.99805
1.65E+12,RSE-12-C,152.60107,28.245024,23.739035,999.8654,1.3398885,772753.3,902.09406
1.65E+12,RSE-12-C,154.02466,28.191128,23.741571,999.91,1.3537954,774526.7,908.92487
1.65E+12,RSE-12-C,154.40132,28.177128,23.751724,999.955,1.3568233,767918.06,910.40283
1.65E+12,RSE-12-C,151.03073,28.166529,23.751724,999.97943,1.3211291,774971.3,892.7668
1.65E+12,RSE-12-C,153.47165,28.12199,23.761871,1000.0298,1.345326,774082.56,904.77325
1.65E+12,RSE-12-C,152.26303,28.119356,23.761871,1000.0157,1.331974,774971.3,898.175
1.65E+12,RSE-12-C,154.21869,28.111654,23.766947,1000.075,1.3512715,774082.56,907.6904
1.65E+12,RSE-12-C,155.84723,28.087193,23.77202,1000.0679,1.3673774,773195.9,915.5286
1.65E+12,RSE-12-C,153.30695,28.064907,23.77202,1000.0697,1.3399892,776308.25,902.14386
1.65E+12,RSE-12-C,155.43626,28.026217,23.782171,1000.1269,1.3611673,770547.94,912.51733
1.65E+12,RSE-12-C,154.56508,28.001276,23.784708,1000.133,1.3511811,776754.94,907.6462
1.65E+12,RSE-12-C,155.35368,27.975086,23.782211,1000.0221,1.3584592,775862.06,911.19995
1.65E+12,RSE-12-C,154.20387,27.971203,23.794895,1000.0696,1.3456299,776754.94,904.9227
1.65E+12,RSE-12-C,156.58002,27.92216,23.80501,1000.03955,1.3694156,775862.06,916.514
1.65E+12,RSE-12-C,156.27916,27.917942,23.807547,999.9757,1.3653309,773195.9,914.53784
1.65E+12,RSE-12-C,154.78185,27.89256,23.80247,999.92,1.3488653,775862.06,906.51135
1.65E+12,RSE-12-C,155.90398,27.843594,23.810083,999.8804,1.3595622,776754.94,911.7368
1.65E+12,RSE-12-C,156.13348,27.863956,23.807547,999.7939,1.3610191,774082.56,912.4454
1.65E+12,RSE-12-C,155.62755,27.830574,23.807547,999.7711,1.3548492,777649.75,909.43964
1.65E+12,RSE-12-C,154.39343,27.80239,23.810083,999.82446,1.3412459,780798.1,902.7639
1.65E+12,RSE-12-C,156.59222,27.803268,23.807547,999.80084,1.3629909,777202.1,913.403
1.65E+12,RSE-12-C,154.6253,27.774153,23.817698,999.8373,1.3418069,780798.1,903.04065
1.65E+12,RSE-12-C,160.90094,27.762026,23.817698,999.8739,1.4064966,773639,934.1887
1.65E+12,RSE-12-C,158.74065,27.754665,23.817698,999.83905,1.3825989,777649.75,922.8521
1.65E+12,RSE-12-C,160.77997,27.73582,23.817698,999.8338,1.4032167,776754.94,932.6443
1.65E+12,RSE-12-C,163.26059,27.725231,23.820232,999.87305,1.4288931,774526.7,944.63965
1.65E+12,RSE-12-C,162.46901,27.716074,23.825308,999.90076,1.4193122,775862.06,940.18915
1.65E+12,RSE-12-C,167.65175,27.700886,23.825308,999.94275,1.4751564,770547.94,965.7187
1.65E+12,RSE-12-C,169.25262,27.663494,23.838032,999.8732,1.4919273,770108.4,973.1971
1.65E+12,RSE-12-C,171.21303,27.666796,23.840532,999.82166,1.5130483,767918.06,982.49664
1.65E+12,RSE-12-C,176.95265,27.652365,23.845646,999.80914,1.5790153,764872.56,1010.72754
1.65E+12,RSE-12-C,180.47289,27.649733,23.84307,999.7996,1.6203339,761421.3,1027.8154
1.65E+12,RSE-12-C,185.59898,27.620443,23.85322,999.8308,1.6829746,755456.06,1052.9077
1.65E+12,RSE-12-C,187.09578,27.617535,23.848145,999.824,1.7006843,757150.9,1059.8326
1.65E+12,RSE-12-C,192.78456,27.618767,23.863369,999.8706,1.7737927,751670.4,1087.676
1.65E+12,RSE-12-C,194.90527,27.587847,23.868444,999.8895,1.8008169,749167.6,1097.6786
1.65E+12,RSE-12-C,196.5526,27.566772,23.870981,999.87115,1.8217016,749583.6,1105.3065
1.65E+12,RSE-12-C,196.24568,27.538513,23.876055,999.8814,1.8158726,749250.7,1103.1863
1.65E+12,RSE-12-C,195.57587,27.54122,23.876055,999.9216,1.8051317,750834.25,1099.2617
1.65E+12,RSE-12-C,195.21666,27.529478,23.891281,999.8897,1.7986633,749583.6,1096.887
1.65E+12,RSE-12-C,193.87943,27.477491,23.898895,999.89545,1.7790993,754611.5,1089.6522
1.65E+12,RSE-12-C,193.68231,27.476936,23.898895,999.92865,1.774906,752089.1,1088.0911
1.65E+12,RSE-12-C,189.80356,27.44745,23.90143,999.90344,1.7224675,755879,1068.2521
1.65E+12,RSE-12-C,190.28725,27.447563,23.90143,999.8963,1.7272449,755879,1070.0844
1.65E+12,RSE-12-C,189.56808,27.428188,23.90143,999.8912,1.7164824,760135.1,1065.9493
